Threshold,ptkl1,etakl1,ptkl10,etakl10
25 15,0.7629,0.7262,0.6839,0.6809
30 15,0.7615,0.7245,0.6805,0.6763
35 15,0.7520,0.7156,0.6636,0.6574
25 20,0.7537,0.7166,0.6715,0.6703
30 20,0.7524,0.7151,0.6680,0.6659
35 20,0.7431,0.7064,0.6518,0.6474
25 25,0.6947,0.6631,0.6038,0.5989
30 25,0.6938,0.6622,0.6015,0.5965
35 25,0.6856,0.6547,0.5882,0.5814
40 15,0.7368,0.7027,0.6368,0.6244
45 15,0.7128,0.6806,0.5956,0.5787
50 15,0.6779,0.6471,0.5385,0.5201
40 20,0.7281,0.6940,0.6257,0.6150
45 20,0.7046,0.6724,0.5861,0.5702
50 20,0.6702,0.6394,0.5308,0.5131
40 25,0.6728,0.6442,0.5654,0.5528
45 25,0.6528,0.6264,0.5302,0.5133
50 25,0.6218,0.5971,0.4809,0.4618
